epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
77,1173.8,0.60972,0.47129,1.01936,0.95086,0.93258,0.96096,0.78391,0.71689,0.45987,1.03113,0.000989267,0.000989267,0.000989267
78,1187.71,0.55155,0.43259,0.98203,0.94378,0.94318,0.95824,0.77084,0.73608,0.46363,0.99788,0.000968543,0.000968543,0.000968543
79,1201.7,0.61565,0.47118,1.01218,0.94281,0.92623,0.95703,0.78775,0.72973,0.48938,1.03518,0.000947837,0.000947837,0.000947837
80,1215.62,0.55701,0.44482,0.98891,0.92167,0.92545,0.94932,0.76564,0.71669,0.48426,1.0257,0.000927159,0.000927159,0.000927159
81,1229.55,0.55082,0.44801,0.98535,0.93639,0.93258,0.95649,0.76242,0.76461,0.49211,1.07416,0.000906517,0.000906517,0.000906517
82,1243.47,0.53738,0.44507,0.97016,0.94878,0.92135,0.96849,0.80013,0.69971,0.44651,0.99889,0.00088592,0.00088592,0.00088592
83,1257.47,0.5623,0.46209,0.97697,0.92368,0.93258,0.96823,0.80065,0.67393,0.47211,0.96153,0.000865378,0.000865378,0.000865378
84,1271.55,0.52351,0.45088,0.97792,0.94899,0.94068,0.97612,0.80815,0.68649,0.422,1.00376,0.000844899,0.000844899,0.000844899
85,1285.57,0.56997,0.46263,0.99848,0.95738,0.9382,0.96268,0.77311,0.74614,0.47288,1.0549,0.000824492,0.000824492,0.000824492
86,1299.72,0.53305,0.42291,0.97493,0.93765,0.9294,0.95836,0.78614,0.7209,0.47998,1.04011,0.000804167,0.000804167,0.000804167
87,1313.66,0.53717,0.41275,0.9786,0.93321,0.92697,0.9565,0.78092,0.6839,0.50719,1.01483,0.000783933,0.000783933,0.000783933
88,1327.62,0.55668,0.42096,0.98519,0.94967,0.91573,0.97275,0.81025,0.65,0.46022,0.96127,0.000763797,0.000763797,0.000763797
89,1341.62,0.52823,0.41833,0.96745,0.90857,0.94903,0.96292,0.79511,0.70207,0.49928,0.99663,0.000743769,0.000743769,0.000743769
90,1355.6,0.55221,0.43444,0.98258,0.93746,0.91011,0.95531,0.79772,0.70722,0.49928,1.00401,0.000723859,0.000723859,0.000723859
91,1369.5,0.51195,0.41496,0.9671,0.94578,0.91011,0.95067,0.779,0.66523,0.48561,0.98062,0.000704073,0.000704073,0.000704073
92,1383.43,0.50853,0.40805,0.95848,0.95633,0.92135,0.95294,0.81298,0.64427,0.47131,0.98065,0.000684422,0.000684422,0.000684422
93,1397.54,0.508,0.40583,0.97016,0.97042,0.92697,0.96018,0.79599,0.69996,0.45879,1.02141,0.000664914,0.000664914,0.000664914
94,1411.48,0.50154,0.39404,0.95411,0.94952,0.97191,0.9679,0.79509,0.71124,0.42655,1.03354,0.000645557,0.000645557,0.000645557
95,1425.42,0.49575,0.40131,0.96922,0.95963,0.94382,0.97409,0.80374,0.6817,0.4059,1.00917,0.00062636,0.00062636,0.00062636
96,1439.35,0.47688,0.39953,0.94286,0.95216,0.96067,0.9743,0.80454,0.69016,0.39673,1.02254,0.000607331,0.000607331,0.000607331
97,1453.35,0.47455,0.39735,0.94915,0.94367,0.9411,0.9767,0.81523,0.67669,0.42539,1.00378,0.000588479,0.000588479,0.000588479
98,1467.35,0.48704,0.39008,0.93909,0.94689,0.92135,0.96917,0.80867,0.67263,0.48314,0.97772,0.000569811,0.000569811,0.000569811
99,1481.26,0.46575,0.37379,0.9419,0.95512,0.91011,0.96595,0.8067,0.69509,0.50362,1.00237,0.000551337,0.000551337,0.000551337
100,1495.27,0.49558,0.37482,0.95154,0.9609,0.92697,0.96583,0.79916,0.69827,0.48237,1.01684,0.000533064,0.000533064,0.000533064
101,1509.2,0.46775,0.37651,0.9529,0.94308,0.94944,0.9783,0.80737,0.71176,0.45572,1.00577,0.000515,0.000515,0.000515
102,1523.19,0.47914,0.38626,0.96838,0.94944,0.94949,0.97413,0.81032,0.68611,0.4259,0.98878,0.000497153,0.000497153,0.000497153
103,1537.11,0.46305,0.36588,0.94876,0.97552,0.93258,0.97401,0.81457,0.67454,0.42848,0.99487,0.000479531,0.000479531,0.000479531
104,1551.06,0.47274,0.38089,0.96713,0.93523,0.95506,0.9707,0.80665,0.67309,0.44737,1.00365,0.000462142,0.000462142,0.000462142
105,1564.99,0.46681,0.36969,0.94407,0.92917,0.9382,0.95933,0.80615,0.66333,0.48907,0.99415,0.000444994,0.000444994,0.000444994
106,1578.86,0.45386,0.37197,0.94668,0.94344,0.93715,0.96032,0.8148,0.6748,0.44889,0.98765,0.000428093,0.000428093,0.000428093
107,1592.83,0.45324,0.37015,0.93513,0.94415,0.94972,0.97685,0.82045,0.65511,0.42185,0.98004,0.000411447,0.000411447,0.000411447
